,DATE,Scrip Symbol,Opted,Quantity,Avg Buy Price,Buy Value,Avg Sell Price,Sell Value,Gross PnL,Brokerage,Add Charges,Intraday PnL,Pre Funds ,VOLUME,RSI,RR,TAR RR,Post Funds 
0,August 5,TATAMOTORS,BUYYY,18.0,1045.8,18824.4,1057.55,19035.9,211.5,11.36,2.2701.220.041500,190.61,4000.0,1.4M ,30,2,2.0,4190.0
1,August 7,TATAMOTORS,SELL,20.0,1026.75,20535.0,1020.46,20409.1,-125.9,12.28,2.4601.320.041500,-148.0,4190.0,,,,,4042.0
2,August 8,TATAMOTORS,SELL,19.0,1049.25,19935.75,1040.35,19766.65,-169.1,11.91,2.3801.280.041500,-190.71,4042.0,,,,,3851.0
3,August 12,TATAMOTORS,SELL,17.0,1079.0,18343.0,1073.8,18254.6,-88.4,10.98,2.1901.180.041500,-108.79,3851.0,,,,,3742.21
4,August 13,TATAMOTORS,BUYYY,34.0,1059.88,36035.75,1063.29,36152.0,116.25,21.66,4.3302.320.071900,77.86,3742.21,,,,,3819.65
5,August 14,TATAMOTORS,BUYYY,17.0,1050.0,17849.95,1058.3,17991.1,141.15,10.75,2.1501.150.041400,122.06,3819.65,,,,,3919.5
6,August 16,TATAMOTORS,SELL,17.0,1098.5,18674.5,1086.7,18473.9,-200.6,11.14,2.2301.20.041500,-221.2,,,,,,
7,August 19,TATAMOTORS,BUYYY,16.0,1091.55,17464.8,1092.25,17476.0,11.2,10.48,2.101.130.041400,-7.54,,,,,,
8,August 20,TATAMOTORS,BUYYY,16.0,1086.65,17386.4,1088.95,17423.2,36.8,10.44,2.0901.120.031400,18.12,3708.0,,,,,
9,August 21,TATAMOTORS,SELL,16.0,1086.05,17376.8,1085.3,17364.8,-12.0,10.42,2.0801.120.031400,-30.66,3690.0,,,,,3690.0
10,August 22,TATAMOTORS,SELL,16.0,1082.45,17319.2,1077.95,17247.2,-72.0,10.37,2.0701.110.031400,-90.59,3690.0,,,,,3566.0
11,11 Sep,OFSS,SELL,6.0,11352.74,68116.45,11288.68,67732.05,-384.4,40.75,8.1504.370.1421700,-456.81,8587.61,33k,65,Loss,1.88,8387.0
12,11 Sep,OFSS,SELL,3.0,11714.0,35142.0,11685.65,35056.95,-85.05,21.06,4.2102.260.071900,-122.65,8287.0,247,54,Loss,2.0,
13,12 Sep,OLAELEC,SELL,1.0,101.3,101.3,101.26,101.26,-0.04,0.06,0.0100.0100000,-0.12,8123.0,17k,60,Loss,2.0,8123.0
14,October 10,TCS,BUYYY,20.0,4266.85,85337.05,4285.87,85717.3,380.25,51.32,10.2105.080.1732100.17,289.29,18284.0,11.8k ,60ish,2,2.0,18573.0
15,October 11,ADANIENT,BUYYY,6.0,3130.8,18784.8,3171.25,19027.5,242.7,11.34,2.2601.120.041500.04,221.9,18573.0,13k,61,2,2.0,18743.0
16,October 14,LT,BUYYY,14.0,3540.0,49560.0,3555.1,49771.4,211.4,29.8,5.9302.950.111200.1,159.52,18743.0,7k,60ish,1,2.0,18954.0
17,October 15,APOLLO,SELL,500.0,101.11,50555.0,100.83,50415.29,-139.71,30.29,6.03030.11.5212.6200.1,-193.37,18953.0,,,,,
18,October 15,SOUTHBANK,BUYYY,2100.0,23.97,50337.0,24.02,50442.0,105.0,30.23,6.0202.990.11.4812.3800.1,51.7,,,,,,18843.0
19,October16,MAZDOCK,SELL,3.0,4340.9,13022.7,4336.62,13009.85,-12.85,7.81,1.5500.770.030300.03,-26.04,,,,,,
20,October 17,INFY,BUYYY,20.0,1963.45,39269.0,1974.02,39480.35,211.35,23.62,4.702.340.0811000.08,169.53,18843.0,118k,70,1.2,2.0,18956.0
21,October 18,LT,BUYYY,10.0,3578.85,35788.5,3584.45,35844.5,56.0,21.49,4.2802.130.071900.07,17.96,18956.0,48k,57,0.45,1.5,18974.0
22,October 22,HDFCLIFE,BUYYY,65.0,743.05,48298.25,746.15,48499.55,201.3,29.04,5.7802.870.11.4512.100.1,149.86,18974.0,50k,47 down,1.44,1.44,
23,October 22,TATAMOTORS,SELL,55.0,896.5,49307.5,891.4,49027.0,-280.5,29.5,5.9903.690.11.5712.7200,-334.07,,,,,,18826.0
