,Date,Price,Change %,Previous_day,Change Pts
0,03-03-2025,87.27,-0.22%,87.466,-0.19599999999999795
1,28-02-2025,87.466,0.16%,87.33,0.13599999999999568
2,27-02-2025,87.33,0.25%,87.113,0.21699999999999875
3,26-02-2025,87.113,-0.02%,87.13,-0.016999999999995907
4,25-02-2025,87.13,0.54%,86.66,0.46999999999999886
5,24-02-2025,86.66,0.10%,86.572,0.08799999999999386
6,21-02-2025,86.572,0.01%,86.561,0.01099999999999568
7,20-02-2025,86.561,-0.38%,86.89,-0.3289999999999935
8,19-02-2025,86.89,0.03%,86.867,0.022999999999996135
9,18-02-2025,86.867,0.07%,86.809,0.058000000000006935
10,17-02-2025,86.809,0.22%,86.62,0.18899999999999295
11,14-02-2025,86.62,-0.08%,86.69,-0.06999999999999318
12,13-02-2025,86.69,-0.24%,86.9,-0.21000000000000796
13,12-02-2025,86.9,0.13%,86.789,0.1110000000000042
14,11-02-2025,86.789,-0.78%,87.469,-0.6799999999999926
15,10-02-2025,87.469,-0.18%,87.627,-0.15800000000000125
16,07-02-2025,87.627,0.05%,87.58,0.046999999999997044
17,06-02-2025,87.58,0.28%,87.336,0.24399999999999977
18,05-02-2025,87.336,0.31%,87.07,0.26600000000000534
19,04-02-2025,87.07,0.13%,86.96,0.10999999999999943
20,03-02-2025,86.96,0.49%,86.536,0.4239999999999924
21,31-01-2025,86.536,-0.01%,86.545,-0.009000000000000341
22,30-01-2025,86.545,-0.10%,86.63,-0.08499999999999375
23,29-01-2025,86.63,0.05%,86.584,0.04599999999999227
24,28-01-2025,86.584,0.27%,86.35,0.23400000000000887
25,27-01-2025,86.35,0.17%,86.2,0.14999999999999147
26,24-01-2025,86.2,-0.27%,86.43,-0.23000000000000398
27,23-01-2025,86.43,-0.02%,86.45,-0.01999999999999602
28,22-01-2025,86.45,0.00%,86.452,-0.001999999999995339
29,21-01-2025,86.452,0.28%,86.209,0.242999999999995
30,20-01-2025,86.209,-0.42%,86.571,-0.36199999999999477
31,17-01-2025,86.571,0.00%,86.57,0.0010000000000047748
32,16-01-2025,86.57,0.22%,86.38,0.18999999999999773
33,15-01-2025,86.38,-0.17%,86.525,-0.14500000000001023
34,14-01-2025,86.525,-0.14%,86.646,-0.12099999999999511
35,13-01-2025,86.646,0.56%,86.165,0.48099999999999454
36,10-01-2025,86.165,0.32%,85.89,0.2750000000000057
37,09-01-2025,85.89,-0.03%,85.917,-0.027000000000001023
38,08-01-2025,85.917,0.13%,85.803,0.11400000000000432
39,07-01-2025,85.803,0.12%,85.7,0.10299999999999443
40,06-01-2025,85.7,-0.07%,85.761,-0.06099999999999284
41,03-01-2025,85.761,0.00%,85.76,0.000999999999990564
42,02-01-2025,85.76,0.13%,85.645,0.1150000000000091
43,01-01-2025,85.645,0.11%,85.554,0.09099999999999397
44,31-12-2024,85.554,0.09%,85.474,0.0799999999999983
45,30-12-2024,85.474,0.10%,85.388,0.08599999999999852
46,27-12-2024,85.388,0.16%,85.254,0.13400000000000034
47,26-12-2024,85.254,0.07%,85.198,0.056000000000011596
48,25-12-2024,85.198,0.03%,85.176,0.02199999999999136
49,24-12-2024,85.176,0.10%,85.095,0.08100000000000307
50,23-12-2024,85.095,0.17%,84.947,0.14799999999999613
51,20-12-2024,84.947,-0.17%,85.088,-0.14099999999999113
52,19-12-2024,85.088,0.26%,84.867,0.22099999999998943
53,18-12-2024,84.867,-0.04%,84.902,-0.03499999999999659
54,17-12-2024,84.902,0.01%,84.89,0.012000000000000455
55,16-12-2024,84.89,0.13%,84.782,0.10800000000000409
56,13-12-2024,84.782,-0.05%,84.825,-0.043000000000006366
57,12-12-2024,84.825,0.04%,84.795,0.030000000000001137
58,11-12-2024,84.795,-0.10%,84.88,-0.08499999999999375
59,10-12-2024,84.88,0.06%,84.829,0.05100000000000193
60,09-12-2024,84.829,0.19%,84.668,0.16099999999998715
61,06-12-2024,84.668,-0.02%,84.684,-0.015999999999991132
62,05-12-2024,84.684,-0.01%,84.693,-0.009000000000000341
63,04-12-2024,84.693,0.02%,84.676,0.016999999999995907
64,03-12-2024,84.676,-0.08%,84.74,-0.06399999999999295
65,02-12-2024,84.74,0.21%,84.559,0.18099999999999739
66,29-11-2024,84.559,0.13%,84.445,0.11400000000000432
67,28-11-2024,84.445,0.04%,84.41,0.03499999999999659
68,27-11-2024,84.41,0.11%,84.319,0.09099999999999397
69,26-11-2024,84.319,0.07%,84.26,0.0589999999999975
70,25-11-2024,84.26,-0.20%,84.426,-0.16599999999999682
71,22-11-2024,84.426,-0.08%,84.495,-0.06900000000000261
72,21-11-2024,84.495,0.16%,84.36,0.13500000000000512
73,20-11-2024,84.36,-0.04%,84.39,-0.030000000000001137
74,19-11-2024,84.39,-0.01%,84.398,-0.007999999999995566
75,18-11-2024,84.398,-0.03%,84.424,-0.02600000000001046
76,15-11-2024,84.424,-0.04%,84.461,-0.03699999999999193
77,14-11-2024,84.461,0.05%,84.416,0.045000000000001705
78,13-11-2024,84.416,0.04%,84.38,0.036000000000001364
79,12-11-2024,84.38,0.00%,84.379,0.000999999999990564
80,11-11-2024,84.379,-0.02%,84.395,-0.015999999999991132
81,08-11-2024,84.395,0.12%,84.293,0.10199999999998965
82,07-11-2024,84.293,-0.02%,84.31,-0.016999999999995907
83,06-11-2024,84.31,0.24%,84.109,0.20100000000000762
84,05-11-2024,84.109,-0.02%,84.13,-0.021000000000000796
85,04-11-2024,84.13,0.06%,84.08,0.04999999999999716
86,01-11-2024,84.08,0.02%,84.061,0.018999999999991246
87,31-10-2024,84.061,-0.02%,84.08,-0.018999999999991246
88,30-10-2024,84.08,0.04%,84.05,0.030000000000001137
89,29-10-2024,84.05,-0.01%,84.06,-0.010000000000005116
90,28-10-2024,84.06,-0.04%,84.095,-0.03499999999999659
91,25-10-2024,84.095,0.05%,84.05,0.045000000000001705
92,24-10-2024,84.05,-0.01%,84.056,-0.006000000000000227
93,23-10-2024,84.056,-0.02%,84.07,-0.013999999999995794
94,22-10-2024,84.07,0.00%,84.07,0.0
95,21-10-2024,84.07,0.01%,84.065,0.0049999999999954525
96,18-10-2024,84.065,0.04%,84.035,0.030000000000001137
97,17-10-2024,84.035,0.01%,84.03,0.0049999999999954525
98,16-10-2024,84.03,-0.01%,84.04,-0.010000000000005116
99,15-10-2024,84.04,-0.01%,84.045,-0.0049999999999954525
100,14-10-2024,84.045,-0.07%,84.101,-0.055999999999997385
101,11-10-2024,84.101,0.19%,83.94,0.16100000000000136
102,10-10-2024,83.94,-0.01%,83.95,-0.010000000000005116
103,09-10-2024,83.95,0.01%,83.945,0.005000000000009663
104,08-10-2024,83.945,-0.04%,83.98,-0.0350000000000108
105,07-10-2024,83.98,-0.05%,84.023,-0.042999999999992156
106,04-10-2024,84.023,0.04%,83.99,0.03300000000000125
107,03-10-2024,83.99,0.08%,83.92,0.06999999999999318
108,02-10-2024,83.92,0.02%,83.9,0.01999999999999602
109,01-10-2024,83.9,0.17%,83.755,0.14500000000001023
110,30-09-2024,83.755,0.05%,83.71,0.045000000000001705
111,27-09-2024,83.71,0.13%,83.601,0.10899999999999466
112,26-09-2024,83.601,0.00%,83.6,0.0010000000000047748
113,25-09-2024,83.6,0.00%,83.6,0.0
114,24-09-2024,83.6,0.08%,83.53,0.06999999999999318
115,23-09-2024,83.53,0.05%,83.485,0.045000000000001705
116,20-09-2024,83.485,-0.16%,83.62,-0.13500000000000512
117,19-09-2024,83.62,-0.04%,83.65,-0.030000000000001137
118,18-09-2024,83.65,-0.12%,83.747,-0.0969999999999942
119,17-09-2024,83.747,-0.11%,83.84,-0.09300000000000352
120,16-09-2024,83.84,-0.05%,83.88,-0.03999999999999204
121,13-09-2024,83.88,-0.05%,83.92,-0.04000000000000625
122,12-09-2024,83.92,-0.05%,83.96,-0.03999999999999204
123,11-09-2024,83.96,0.01%,83.949,0.01099999999999568
124,10-09-2024,83.949,0.03%,83.928,0.021000000000000796
125,09-09-2024,83.928,-0.07%,83.985,-0.05700000000000216
126,06-09-2024,83.985,0.03%,83.961,0.02400000000000091
127,05-09-2024,83.961,0.00%,83.96,0.0010000000000047748
128,04-09-2024,83.96,0.01%,83.95,0.009999999999990905
129,03-09-2024,83.95,0.08%,83.88,0.07000000000000739
130,02-09-2024,83.88,0.02%,,
