Unnamed: 0,Date,Gross Purchase FII,Gross Sales FII,Net Purchase FII,Gross Purchase DII,Gross Sales DII,Net Purchase DII,Net Net,# Net Net,Change,Change%
1,28-Feb-2025,39239.44,50878.46,-11639.02,28065.55,15756.92,12308.63,669.6099999999988,1170.55,-500.9400000000012,-42.795267182093994
2,27-Feb-2025,19055.23,19611.79,-556.56,13530.17,11803.06,1727.11,1170.55,-498.3199999999997,1668.8699999999997,-334.899261518703
3,25-Feb-2025,12500.37,16029.47,-3529.1,11278.09,8247.31,3030.78,-498.3199999999997,-1101.0500000000002,602.7300000000005,-54.74138322510335
4,24-Feb-2025,7905.53,14192.23,-6286.7,12552.14,7366.49,5185.65,-1101.0500000000002,-564.54,-536.5100000000002,95.03489566726897
5,21-Feb-2025,10144.33,13593.48,-3449.15,12889.44,10004.83,2884.61,-564.54,596.0899999999997,-1160.6299999999997,-194.7071750910098
6,20-Feb-2025,11131.94,14443.49,-3311.55,13180.35,9272.71,3907.64,596.0899999999997,76.44000000000005,519.6499999999996,679.814233385661
7,19-Feb-2025,11570.57,13451.87,-1881.3,11192.98,9235.24,1957.74,76.44000000000005,7858.75,-7782.3099999999995,-99.02732622872593
8,18-Feb-2025,14537.68,9751.12,4786.56,12792.87,9720.68,3072.19,7858.75,821.9400000000005,7036.8099999999995,856.122101369929
9,17-Feb-2025,6826.98,10764.81,-3937.83,12504.11,7744.34,4759.77,821.9400000000005,69.18000000000029,752.7600000000002,1088.1179531656505
10,14-Feb-2025,9064.18,13358.87,-4294.69,12826.66,8462.79,4363.87,69.18000000000029,144.59000000000015,-75.40999999999985,-52.15436752195849
11,13-Feb-2025,12124.0,14913.91,-2789.91,13148.49,10213.99,2934.5,144.59000000000015,959.9399999999996,-815.3499999999995,-84.9376002666833
12,12-Feb-2025,12389.1,17358.4,-4969.3,15357.41,9428.17,5929.24,959.9399999999996,-484.52,1444.4599999999996,-298.121852555106
13,11-Feb-2025,11495.99,15982.4,-4486.41,13787.72,9785.83,4001.89,-484.52,-948.1999999999998,463.67999999999984,-48.901075722421425
14,10-Feb-2025,9607.92,12071.64,-2463.72,9802.45,8286.93,1515.52,-948.1999999999998,-16.189999999999998,-932.0099999999998,5756.701667696108
15,07-Feb-2025,12482.21,12952.6,-470.39,12185.62,11731.42,454.2,-16.189999999999998,-828.29,812.0999999999999,-98.0453705827669
16,06-Feb-2025,13469.82,17019.77,-3549.95,11546.06,8824.4,2721.66,-828.29,-686.55,-141.74,20.64525526181633
17,05-Feb-2025,14112.34,15795.17,-1682.83,12860.76,11864.48,996.28,-686.55,378.53000000000003,-1065.08,-281.37267851953607
18,04-Feb-2025,18105.75,17296.52,809.23,15002.64,15433.34,-430.7,378.53000000000003,-1250.1399999999999,1628.6699999999998,-130.2790087510199
19,03-Feb-2025,12505.92,16464.29,-3958.37,19319.48,16611.25,2708.23,-1250.1399999999999,-502.78999999999996,-747.3499999999999,148.64058553272736
20,01-Feb-2025,987.59,2314.68,-1327.09,13364.01,12539.63,824.3,-502.78999999999996,1043.2299999999998,-1546.0199999999998,-148.1955081813215
21,31-Jan-2025,14000.07,15189.06,-1188.99,13549.67,11317.45,2232.22,1043.2299999999998,-2417.06,3460.29,-143.16111308780089
22,30-Jan-2025,10513.63,15096.58,-4582.95,13934.35,11768.46,2165.89,-2417.06,-793.7199999999998,-1623.3400000000001,204.52300559391227
23,29-Jan-2025,7644.4,10230.83,-2586.43,12871.38,11078.67,1792.71,-793.7199999999998,1893.6400000000003,-2687.36,-141.91504192982825
24,28-Jan-2025,11165.86,16086.55,-4920.69,19735.28,12920.95,6814.33,1893.6400000000003,1626.6899999999996,266.9500000000007,16.410625257424634
25,27-Jan-2025,9488.57,14504.03,-5015.46,16503.43,9861.28,6642.15,1626.6899999999996,-356.17999999999984,1982.8699999999994,-556.7044752653154
26,24-Jan-2025,11230.47,13988.96,-2758.49,12835.41,10433.1,2402.31,-356.17999999999984,-1749.9700000000003,1393.7900000000004,-79.64650822585531
27,23-Jan-2025,13316.55,18779.07,-5462.52,14412.73,10700.18,3712.55,-1749.9700000000003,-386.0300000000002,-1363.94,353.32487112400577
28,22-Jan-2025,12936.64,16962.89,-4026.25,15437.18,11796.96,3640.22,-386.0300000000002,-2419.9599999999996,2033.9299999999994,-84.04808343939568
29,21-Jan-2025,9983.18,15903.46,-5920.28,14355.52,10855.2,3500.32,-2419.9599999999996,-14.579999999999927,-2405.3799999999997,16497.805212620107
30,20-Jan-2025,9473.16,13809.7,-4336.54,15339.21,11017.25,4321.96,-14.579999999999927,-745.1799999999998,730.5999999999999,-98.04342574948336
31,17-Jan-2025,10486.45,13804.51,-3318.06,12496.54,9923.66,2572.88,-745.1799999999998,-1413.23,668.0500000000002,-47.27114482426782
32,16-Jan-2025,11077.77,15419.72,-4341.95,14830.61,11901.89,2928.72,-1413.23,-850.9499999999998,-562.2800000000002,66.07673776367594
33,15-Jan-2025,11035.43,15568.92,-4533.49,14429.64,10747.1,3682.54,-850.9499999999998,-231.19999999999982,-619.75,268.05795847750886
34,14-Jan-2025,13794.14,21926.4,-8132.26,17836.5,9935.44,7901.06,-231.19999999999982,3173.2299999999996,-3404.4299999999994,-107.28595153833791
35,13-Jan-2025,10978.18,15871.02,-4892.84,20133.51,12067.44,8066.07,3173.2299999999996,1707.2400000000002,1465.9899999999993,85.86900494365169
36,10-Jan-2025,10097.02,12351.7,-2254.68,14293.73,10331.81,3961.92,1707.2400000000002,468.7600000000002,1238.48,264.20343032681956
37,09-Jan-2025,8537.05,15707.92,-7170.87,16727.63,9088.0,7639.63,468.7600000000002,-645.8999999999996,1114.6599999999999,-172.5747019662487
38,08-Jan-2025,9944.21,13306.39,-3362.18,14251.5,11535.22,2716.28,-645.8999999999996,123.81999999999994,-769.7199999999996,-621.6443224034889
