,Date,Price,Open,High,Low,Vol.,Change %,Yesterday Price,Change Pts
3,"Mar 02, 2025",2882.47,"2,867.85","2,888.15","2,867.40",0.01K,0.0119,2848.5,33.9699999999998
4,"Feb 28, 2025",2848.5,"2,889.00","2,896.10","2,844.10",210.56K,-1.64%,2895.9,-47.40000000000009
5,"Feb 27, 2025",2895.9,"2,931.40","2,935.80","2,879.00",207.65K,-0.75%,2917.8,-21.90000000000009
6,"Feb 26, 2025",2917.8,"2,915.60","2,926.40","2,891.00",2.05K,0.0041,2906.0,11.800000000000182
7,"Feb 25, 2025",2906.0,"2,955.90","2,955.90","2,884.50",5.59K,-1.48%,2949.7,-43.69999999999982
8,"Feb 24, 2025",2949.7,"2,939.30","2,960.00","2,926.40",2.00K,-0.12%,2953.2,-3.5
9,"Feb 21, 2025",2953.2,"2,955.70","2,964.70","2,930.10",163.69K,-0.10%,2956.1,-2.900000000000091
10,"Feb 20, 2025",2956.1,"2,949.50","2,973.40","2,939.30",172.20K,0.0068,2936.1,20.0
11,"Feb 19, 2025",2936.1,"2,954.10","2,964.40","2,933.70",159.34K,-0.44%,2949.0,-12.900000000000091
12,"Feb 18, 2025",2949.0,"2,895.10","2,956.50","2,887.60",218.76K,0.0167,2900.7,48.30000000000018
13,"Feb 14, 2025",2900.7,"2,957.30","2,964.10","2,889.90",228.08K,-1.52%,2945.4,-44.70000000000027
14,"Feb 13, 2025",2945.4,"2,928.80","2,958.80","2,925.80",169.50K,0.0057,2928.7,16.700000000000273
15,"Feb 12, 2025",2928.7,"2,927.00","2,936.50","2,886.50",204.63K,-0.13%,2932.6,-3.900000000000091
16,"Feb 11, 2025",2932.6,"2,937.00","2,968.50","2,907.00",218.48K,-0.06%,2934.4,-1.800000000000182
17,"Feb 10, 2025",2934.4,"2,884.80","2,938.10","2,879.90",167.23K,0.0162,2887.6,46.80000000000018
18,"Feb 07, 2025",2887.6,"2,880.20","2,910.60","2,876.10",192.55K,0.0038,2876.7,10.900000000000091
19,"Feb 06, 2025",2876.7,"2,885.00","2,894.20","2,855.00",167.70K,-0.56%,2893.0,-16.300000000000182
20,"Feb 05, 2025",2893.0,"2,873.70","2,906.00","2,870.10",167.38K,0.006,2875.8,17.199999999999818
21,"Feb 04, 2025",2875.8,"2,850.40","2,877.10","2,837.40",145.86K,0.0065,2857.1,18.700000000000273
22,"Feb 03, 2025",2857.1,"2,846.50","2,872.00","2,802.20",181.34K,0.0078,2835.0,22.09999999999991
23,"Jan 31, 2025",2835.0,"2,851.90","2,862.90","2,826.00",165.68K,-0.36%,2845.2,-10.199999999999818
24,"Jan 30, 2025",2845.2,"2,796.20","2,853.20","2,794.90",188.34K,0.0229,2781.5,63.69999999999982
25,"Jan 29, 2025",2781.5,"2,784.90","2,790.10","2,772.80",3.98K,0.0002,2781.0,0.5
26,"Jan 28, 2025",2781.0,"2,757.00","2,786.90","2,752.90",3.42K,0.0104,2752.4,28.59999999999991
27,"Jan 27, 2025",2752.4,"2,791.00","2,791.00","2,746.80",3.94K,-1.44%,2792.7,-40.29999999999973
28,"Jan 24, 2025",2792.7,"2,779.30","2,808.10","2,779.30",1.10K,0.0052,2778.3,14.399999999999636
29,"Jan 23, 2025",2778.3,"2,778.10","2,780.20","2,754.70",1.83K,-0.68%,2797.4,-19.09999999999991
30,"Jan 22, 2025",2797.4,"2,784.50","2,800.30","2,782.50",39.59K,0.0042,2785.6,11.800000000000182
31,"Jan 21, 2025",2785.6,"2,766.00","2,788.40","2,741.50",56.80K,0.0134,2748.7,36.90000000000009
32,"Jan 17, 2025",2748.7,"2,746.80","2,759.20","2,729.20",156.87K,-0.08%,2750.9,-2.200000000000273
33,"Jan 16, 2025",2750.9,"2,722.30","2,757.90","2,720.40",186.54K,0.0122,2717.8,33.09999999999991
34,"Jan 15, 2025",2717.8,"2,693.30","2,722.70","2,685.40",193.72K,0.0132,2682.3,35.5
35,"Jan 14, 2025",2682.3,"2,682.00","2,693.70","2,672.00",179.41K,0.0014,2678.6,3.700000000000273
36,"Jan 13, 2025",2678.6,"2,716.80","2,723.80","2,675.20",211.09K,-1.34%,2715.0,-36.40000000000009
37,"Jan 10, 2025",2715.0,"2,692.90","2,735.00","2,686.90",298.41K,0.009,2690.8,24.199999999999818
38,"Jan 09, 2025",2690.8,"2,679.90","2,696.80","2,673.70",156.65K,0.0069,2672.4,18.40000000000009
39,"Jan 08, 2025",2672.4,"2,662.90","2,687.00","2,658.40",197.37K,0.0026,2665.4,7.0
40,"Jan 07, 2025",2665.4,"2,647.10","2,678.50","2,643.50",161.62K,0.0068,2647.4,18.0
41,"Jan 06, 2025",2647.4,"2,652.80","2,663.80","2,624.60",169.92K,-0.27%,2654.7,-7.299999999999727
42,"Jan 03, 2025",2654.7,"2,671.10","2,681.00","2,649.70",121.17K,-0.54%,2669.0,-14.300000000000182
43,"Jan 02, 2025",2669.0,"2,641.00","2,674.20","2,636.10",144.52K,0.0106,2641.0,28.0
44,"Dec 31, 2024",2641.0,"2,620.00","2,642.00","2,614.30",86.29K,0.0087,2618.1,22.90000000000009
45,"Dec 30, 2024",2618.1,"2,636.10","2,640.70","2,608.40",110.92K,-0.01%,2618.4,-0.3000000000001819
46,"Dec 27, 2024",2618.4,"2,639.70","2,639.70","2,612.10",0.64K,-0.83%,2640.3,-21.90000000000009
47,"Dec 26, 2024",2640.3,"2,623.30","2,642.40","2,622.80",1.40K,0.0067,2622.8,17.5
48,"Dec 24, 2024",2622.8,"2,616.50","2,622.70","2,612.50",0.42K,0.0028,2615.5,7.300000000000182
49,"Dec 23, 2024",2615.5,"2,627.30","2,632.90","2,610.20",0.56K,-0.65%,2632.5,-17.0
50,"Dec 20, 2024",2632.5,"2,597.70","2,640.70","2,595.70",0.51K,0.0141,2596.0,36.5
51,"Dec 19, 2024",2596.0,"2,586.00","2,625.00","2,585.90",0.90K,-1.70%,2640.8,-44.80000000000018
52,"Dec 18, 2024",2640.8,"2,651.20","2,654.30","2,587.20",0.88K,-0.33%,2649.6,-8.799999999999727
53,"Dec 17, 2024",2649.6,"2,657.20","2,662.50","2,634.30",0.63K,-0.28%,2657.0,-7.400000000000091
54,"Dec 16, 2024",2657.0,"2,654.60","2,669.70","2,648.30",1.41K,-0.20%,2662.4,-5.400000000000091
55,"Dec 13, 2024",2662.4,"2,690.20","2,702.10","2,650.60",1.07K,-1.21%,2695.1,-32.69999999999982
56,"Dec 12, 2024",2695.1,"2,737.80","2,743.50","2,683.30",1.69K,-1.69%,2741.5,-46.40000000000009
57,"Dec 11, 2024",2741.5,"2,708.80","2,743.80","2,700.30",3.82K,0.0133,2705.6,35.90000000000009
58,"Dec 10, 2024",2705.6,"2,669.80","2,708.80","2,669.80",1.41K,0.0121,2673.3,32.29999999999973
59,"Dec 09, 2024",2673.3,"2,654.50","2,687.00","2,637.50",0.96K,0.0099,2647.1,26.200000000000273
60,"Dec 06, 2024",2647.1,"2,642.40","2,655.00","2,629.50",0.80K,0.0042,2636.1,11.0
61,"Dec 05, 2024",2636.1,"2,661.90","2,667.30","2,634.50",1.67K,-1.06%,2664.3,-28.200000000000273
62,"Dec 04, 2024",2664.3,"2,651.30","2,670.00","2,643.80",0.85K,0.0032,2655.9,8.400000000000091
63,"Dec 03, 2024",2655.9,"2,652.00","2,665.00","2,645.00",0.61K,0.0036,2646.5,9.400000000000091
64,"Dec 02, 2024",2646.5,"2,663.70","2,663.90","2,633.50",0.97K,-0.84%,2669.0,-22.5
65,"Nov 29, 2024",2669.0,"2,649.70","2,678.10","2,631.80",1.35K,0.0063,2652.3,16.699999999999818
66,"Nov 27, 2024",2652.3,"2,646.40","2,670.70","2,641.10",2.27K,0.0118,2621.3,31.0
67,"Nov 26, 2024",2621.3,"2,626.20","2,642.70","2,605.30",177.86K,0.0011,2618.5,2.800000000000182
68,"Nov 25, 2024",2618.5,"2,716.90","2,723.20","2,616.60",305.34K,-3.45%,2712.2,-93.69999999999982
69,"Nov 22, 2024",2712.2,"2,672.00","2,718.50","2,670.10",220.55K,0.0139,2674.9,37.29999999999973
70,"Nov 21, 2024",2674.9,"2,653.50","2,676.50","2,651.60",186.30K,0.0087,2651.7,23.200000000000273
71,"Nov 20, 2024",2651.7,"2,635.80","2,659.00","2,621.90",182.01K,0.0079,2631.0,20.699999999999818
72,"Nov 19, 2024",2631.0,"2,616.30","2,643.40","2,614.20",202.24K,0.0063,2614.6,16.40000000000009
73,"Nov 18, 2024",2614.6,"2,571.50","2,619.50","2,568.50",195.29K,0.0173,2570.1,44.5
74,"Nov 15, 2024",2570.1,"2,570.40","2,580.80","2,558.90",179.89K,-0.11%,2572.9,-2.800000000000182
75,"Nov 14, 2024",2572.9,"2,578.10","2,585.80","2,541.50",266.16K,-0.53%,2586.5,-13.599999999999909
76,"Nov 13, 2024",2586.5,"2,604.70","2,625.00","2,578.10",262.75K,-0.76%,2606.3,-19.800000000000182
77,"Nov 12, 2024",2606.3,"2,625.70","2,633.40","2,595.70",282.77K,-0.44%,2617.7,-11.399999999999636
78,"Nov 11, 2024",2617.7,"2,692.10","2,693.40","2,617.10",281.92K,-2.86%,2694.8,-77.10000000000036
79,"Nov 08, 2024",2694.8,"2,713.60","2,717.80","2,687.30",233.11K,-0.41%,2705.8,-11.0
80,"Nov 07, 2024",2705.8,"2,667.70","2,718.30","2,650.30",292.92K,0.011,2676.3,29.5
81,"Nov 06, 2024",2676.3,"2,752.60","2,758.80","2,660.70",361.31K,-2.67%,2749.7,-73.39999999999964
82,"Nov 05, 2024",2749.7,"2,746.00","2,759.50","2,733.40",151.43K,0.0013,2746.2,3.5
83,"Nov 04, 2024",2746.2,"2,743.50","2,757.50","2,739.40",145.25K,-0.11%,2749.2,-3.0
84,"Nov 01, 2024",2749.2,"2,754.00","2,772.40","2,742.60",180.66K,0.00%,2749.3,-0.1000000000003638
85,"Oct 31, 2024",2749.3,"2,799.10","2,801.20","2,741.80",242.57K,-1.84%,2800.8,-51.5
86,"Oct 30, 2024",2800.8,"2,786.90","2,801.80","2,782.40",191.55K,0.0116,2768.8,32.0
87,"Oct 29, 2024",2768.8,"2,741.90","2,773.20","2,741.90",0.85K,0.0092,2743.6,25.200000000000273
88,"Oct 28, 2024",2743.6,"2,739.40","2,745.60","2,725.80",0.57K,0.0005,2742.2,1.400000000000091
89,"Oct 25, 2024",2742.2,"2,735.40","2,747.20","2,716.90",0.26K,0.0021,2736.5,5.699999999999818
90,"Oct 24, 2024",2736.5,"2,717.40","2,743.30","2,717.40",0.34K,0.0071,2717.1,19.40000000000009
