Date Range,,,,,,,,,,,,,,,,,,,
From Date,31/07/2024,,,,,,,,,,,,,,,,,,
To Date,20/01/2025,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Equity P&L Summary,,,,,,,,,,,,,,,,,,,
Total Gross PnL,-1353.77,,,,,,,,,,,,,,,,,,
Total Brokerage,733.99,,,,,,,,,,,,,,,,,,
Total GST,146.35,,,,,,,,,,,,,,,,,,
Total Exchange Service Tax,0,,,,,,,,,,,,,,,,,,
Total Turnover Tax,75.06,,,,,,,,,,,,,,,,,,
Total SEBI Charges,2.47,,,,,,,,,,,,,,,,,,
Total Stamp Duty,41,,,,,,,,,,,,,,,,,,
Total STT,302.99,,,,,,,,,,,,,,,,,,
Total Other Charges,0,,,,,,,,,,,,,,,,,,
Total IPFT Charges,1.72,,,,,,,,,,,,,,,,,,
Net PnL,-2657.35,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Intraday Net PnL,-2657.35,,,,,,,,,,,,,,,,,,
Short Term Net PnL,0,,,,,,,,,,,,,,,,,,
Long Term Net PnL,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Delivery PnL,,,,,,,,,,,,,,,,,,,
Scrip Symbol,Company Name,Quantity,Avg Buy Price,Buy Value,Avg Sell Price,Sell Value,Gross PnL,Brokerage,GST,Exchange Service Tax,Turnover Tax,SEBI Charges,Stamp Duty,STT,Other Charges,IPFT Charges,Net PnL,Long term PnL,Short term PnL
Total,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,
Intraday PnL,,,,,,,,,,,,,,,,,,,
Scrip Symbol,Company Name,Quantity,Avg Buy Price,Buy Value,Avg Sell Price,Sell Value,Gross PnL,Brokerage,GST,Exchange Service Tax,Turnover Tax,SEBI Charges,Stamp Duty,STT,Other Charges,IPFT Charges,Intraday PnL,,
LT,LARSEN & TOUBRO LTD.,20,3590.63,71812.5,3587.98,71759.5,-53,43.07,8.57,0,4.26,0.14,2,18,0,0.14,-129.19,,
RELIANCE,RELIANCE INDUSTRIES LTD,20,1243.65,24873,1239.1,24782,-91,14.9,2.96,0,1.47,0.05,1,6,0,0.05,-117.44,,
TCS,TATA CONSULTANCY SERV LT,6,4301.5,25809,4273.55,25641.3,-167.7,15.44,3.07,0,1.53,0.05,1,6,0,0.05,-194.84,,
IREDA,INDIAN RENEWABLE ENERGY,60,215.4,12924,212.11,12726.53,-197.47,7.7,1.53,0,0.76,0.03,0,3,0,0.03,-210.51,,
M&M,MAHINDRA & MAHINDRA LTD,9,3133.96,28205.65,3122.1,28098.9,-106.75,16.89,3.36,0,1.67,0.06,1,7,0,0.06,-136.79,,
TRENT,TRENT LTD,2,6600.2,13200.4,6714.4,13428.8,228.4,7.99,1.59,0,0.79,0.03,0,3,0,0.03,214.98,,
TITAN,TITAN COMPANY LIMITED,7,3525.45,24678.15,3562.8,24939.6,261.45,14.89,2.96,0,1.47,0.05,1,6,0,0.05,235.02,,
LT,LARSEN & TOUBRO LTD.,7,3651.45,25560.15,3651.41,25559.85,-0.3,15.34,3.05,0,1.52,0.05,1,6,0,0.05,-27.31,,
TATAMOTORS,TATA MOTORS LIMITED,30,774.5,23235,768.85,23065.5,-169.5,13.89,2.76,0,1.38,0.05,1,6,0,0.05,-194.62,,
NTPC,NTPC LTD,65,386.6,25129,385.1,25031.5,-97.5,15.05,2.99,0,1.49,0.05,1,6,0,0.05,-124.13,,
ABFRL,ADITYA BIRLA FASHION & RT,100,306.6,30660,301.1,30110,-550,18.23,3.63,0,1.8,0.06,0.95,7.6,0,0.06,-582.33,,
TATAMOTORS,TATA MOTORS LIMITED,2,809.83,1619.65,810.38,1620.75,1.1,0.97,0.2,0,0.12,0,0.05,0.4,0,0,-0.64,,
TATASTEEL,TATA STEEL LIMITED,200,155.78,31156,155.12,31024,-132,18.65,3.71,0,1.85,0.06,1,8,0,0.06,-165.33,,
WIPRO,WIPRO LTD,80,572.5,45800,571.05,45684,-116,27.45,5.46,0,2.72,0.09,1,11,0,0.09,-163.81,,
TECHM,TECH MAHINDRA LIMITED,25,1732.6,43314.95,1709.03,42725.85,-589.1,25.81,5.14,0,2.56,0.09,1,11,0,0.09,-634.77,,
RELIANCE,RELIANCE INDUSTRIES LTD,12,2721.96,32663.55,2727.9,32734.8,71.25,19.62,3.9,0,1.94,0.07,0.98,8.17,0,0.07,36.5,,
TATAMOTORS,TATA MOTORS LIMITED,55,896.5,49307.5,891.4,49027,-280.5,29.5,5.99,0,3.69,0.1,1.57,12.72,0,0,-334.07,,
HDFCLIFE,HDFC LIFE INS CO LTD,65,743.05,48298.25,746.15,48499.55,201.3,29.04,5.78,0,2.87,0.1,1.45,12.1,0,0.1,149.86,,
LT,LARSEN & TOUBRO LTD.,10,3578.85,35788.5,3584.45,35844.5,56,21.49,4.28,0,2.13,0.07,1,9,0,0.07,17.96,,
INFY,INFOSYS LIMITED,20,1963.45,39269,1974.02,39480.35,211.35,23.62,4.7,0,2.34,0.08,1,10,0,0.08,169.53,,
MAZDOCK,MAZAGON DOCK SHIPBUIL LTD,3,4340.9,13022.7,4336.62,13009.85,-12.85,7.81,1.55,0,0.77,0.03,0,3,0,0.03,-26.04,,
SOUTHBANK,THE SOUTH INDIAN BANK LTD,2100,23.97,50337,24.02,50442,105,30.23,6.02,0,2.99,0.1,1.48,12.38,0,0.1,51.7,,
APOLLO,APOLLO MICRO SYSTEMS LTD,500,101.11,50555,100.83,50415.29,-139.71,30.29,6.03,0,3,0.1,1.52,12.62,0,0.1,-193.37,,
LT,LARSEN & TOUBRO LTD.,14,3540,49560,3555.1,49771.4,211.4,29.8,5.93,0,2.95,0.1,1,12,0,0.1,159.52,,
ADANIENT,ADANI ENTERPRISES LIMITED,6,3130.8,18784.8,3171.25,19027.5,242.7,11.34,2.26,0,1.12,0.04,1,5,0,0.04,221.9,,
TCS,TATA CONSULTANCY SERV LT,20,4266.85,85337.05,4285.87,85717.3,380.25,51.32,10.21,0,5.08,0.17,3,21,0,0.17,289.29,,
OLAELEC,OLA ELECTRIC MOBILITY LTD,1,101.3,101.3,101.26,101.26,-0.04,0.06,0.01,0,0.01,0,0,0,0,0,-0.12,,
OFSS,ORACLE FIN SERV SOFT LTD.,3,11714,35142,11685.65,35056.95,-85.05,21.06,4.21,0,2.26,0.07,1,9,0,0,-122.65,,
OFSS,ORACLE FIN SERV SOFT LTD.,6,11352.74,68116.45,11288.68,67732.05,-384.4,40.75,8.15,0,4.37,0.14,2,17,0,0,-456.81,,
TATAMOTORS,TATA MOTORS LIMITED,16,1082.45,17319.2,1077.95,17247.2,-72,10.37,2.07,0,1.11,0.03,1,4,0,0,-90.59,,
TATAMOTORS,TATA MOTORS LIMITED,16,1086.05,17376.8,1085.3,17364.8,-12,10.42,2.08,0,1.12,0.03,1,4,0,0,-30.66,,
TATAMOTORS,TATA MOTORS LIMITED,16,1086.65,17386.4,1088.95,17423.2,36.8,10.44,2.09,0,1.12,0.03,1,4,0,0,18.12,,
TATAMOTORS,TATA MOTORS LIMITED,16,1091.55,17464.8,1092.25,17476,11.2,10.48,2.1,0,1.13,0.04,1,4,0,0,-7.54,,
TATAMOTORS,TATA MOTORS LIMITED,17,1098.5,18674.5,1086.7,18473.9,-200.6,11.14,2.23,0,1.2,0.04,1,5,0,0,-221.2,,
TATAMOTORS,TATA MOTORS LIMITED,17,1050,17849.95,1058.3,17991.1,141.15,10.75,2.15,0,1.15,0.04,1,4,0,0,122.06,,
TATAMOTORS,TATA MOTORS LIMITED,34,1059.88,36035.75,1063.29,36152,116.25,21.66,4.33,0,2.32,0.07,1,9,0,0,77.86,,
TATAMOTORS,TATA MOTORS LIMITED,17,1079,18343,1073.8,18254.6,-88.4,10.98,2.19,0,1.18,0.04,1,5,0,0,-108.79,,
TATAMOTORS,TATA MOTORS LIMITED,19,1049.25,19935.75,1040.35,19766.65,-169.1,11.91,2.38,0,1.28,0.04,1,5,0,0,-190.71,,
TATAMOTORS,TATA MOTORS LIMITED,20,1026.75,20535,1020.46,20409.1,-125.9,12.28,2.46,0,1.32,0.04,1,5,0,0,-148,,
TATAMOTORS,TATA MOTORS LIMITED,18,1045.8,18824.4,1057.55,19035.9,211.5,11.36,2.27,0,1.22,0.04,1,5,0,0,190.61,,
Total,,,,1224006.1,,1222652.33,-1353.77,733.99,146.35,0,75.06,2.47,41,302.99,0,1.72,-2657.35,,
