,Date Range,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
0,From Date,31/07/2024,,,,,,,,,,,,,,,,,,
1,To Date,20/01/2025,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,
3,Equity P&L Summary,,,,,,,,,,,,,,,,,,,
4,Total Gross PnL,-1353.77,,,,,,,,,,,,,,,,,,
5,Total Brokerage,733.99,,,,,,,,,,,,,,,,,,
6,Total GST,146.35,,,,,,,,,,,,,,,,,,
7,Total Exchange Service Tax,0,,,,,,,,,,,,,,,,,,
8,Total Turnover Tax,75.06,,,,,,,,,,,,,,,,,,
9,Total SEBI Charges,2.47,,,,,,,,,,,,,,,,,,
10,Total Stamp Duty,41,,,,,,,,,,,,,,,,,,
11,Total STT,302.99,,,,,,,,,,,,,,,,,,
12,Total Other Charges,0,,,,,,,,,,,,,,,,,,
13,Total IPFT Charges,1.72,,,,,,,,,,,,,,,,,,
14,Net PnL,-2657.35,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,
16,Intraday Net PnL,-2657.35,,,,,,,,,,,,,,,,,,
17,Short Term Net PnL,0,,,,,,,,,,,,,,,,,,
