Scrip Symbol,Company Name,Quantity,Avg Buy Price,Buy Value,Avg Sell Price,Sell Value,Gross PnL,Brokerage,Add Charges,Intraday PnL,Opted
RELIANCE,RELIANCE INDUSTRIES LTD,20,1243.65,24873,1239.1,24782,-91,14.9,2.9601.470.051600.05,-117.44,SELL
TCS,TATA CONSULTANCY SERV LT,6,4301.5,25809,4273.55,25641.3,-167.7,15.44,3.0701.530.051600.05,-194.84,SELL
IREDA,INDIAN RENEWABLE ENERGY,60,215.4,12924,212.11,12726.53,-197.47,7.7,1.5300.760.030300.03,-210.51,SELL
M&M,MAHINDRA & MAHINDRA LTD,9,3133.96,28205.65,3122.1,28098.9,-106.75,16.89,3.3601.670.061700.06,-136.79,SELL
TRENT,TRENT LTD,2,6600.2,13200.4,6714.4,13428.8,228.4,7.99,1.5900.790.030300.03,214.98,BUYYY
TITAN,TITAN COMPANY LIMITED,7,3525.45,24678.15,3562.8,24939.6,261.45,14.89,2.9601.470.051600.05,235.02,BUYYY
LT,LARSEN & TOUBRO LTD.,7,3651.45,25560.15,3651.41,25559.85,-0.3,15.34,3.0501.520.051600.05,-27.31,SELL
TATAMOTORS,TATA MOTORS LIMITED,30,774.5,23235,768.85,23065.5,-169.5,13.89,2.7601.380.051600.05,-194.62,SELL
NTPC,NTPC LTD,65,386.6,25129,385.1,25031.5,-97.5,15.05,2.9901.490.051600.05,-124.13,SELL
ABFRL,ADITYA BIRLA FASHION & RT,100,306.6,30660,301.1,30110,-550,18.23,3.6301.80.060.957.600.06,-582.33,SELL
TATAMOTORS,TATA MOTORS LIMITED,2,809.83,1619.65,810.38,1620.75,1.1,0.97,0.200.1200.050.400,-0.64,BUYYY
TATASTEEL,TATA STEEL LIMITED,200,155.78,31156,155.12,31024,-132,18.65,3.7101.850.061800.06,-165.33,SELL
WIPRO,WIPRO LTD,80,572.5,45800,571.05,45684,-116,27.45,5.4602.720.0911100.09,-163.81,SELL
TECHM,TECH MAHINDRA LIMITED,25,1732.6,43314.95,1709.03,42725.85,-589.1,25.81,5.1402.560.0911100.09,-634.77,SELL
RELIANCE,RELIANCE INDUSTRIES LTD,12,2721.96,32663.55,2727.9,32734.8,71.25,19.62,3.901.940.070.988.1700.07,36.5,BUYYY
TATAMOTORS,TATA MOTORS LIMITED,55,896.5,49307.5,891.4,49027,-280.5,29.5,5.9903.690.11.5712.7200,-334.07,SELL
HDFCLIFE,HDFC LIFE INS CO LTD,65,743.05,48298.25,746.15,48499.55,201.3,29.04,5.7802.870.11.4512.100.1,149.86,BUYYY
