,,,,,,,
,,,,,,,
,,,,,,,
,,FII,,,DII,,
,Date,Gross Purchase,Gross Sales,Net Purchase / Sales,Gross Purchase,Gross Sales,Net Purchase / Sales
,Total,259256.89,318244.97,-58988.08,277187,212333.81,64853.19
,28-Feb-2025,"39,239.44","50,878.46","-11,639.02","28,065.55","15,756.92","12,308.63"
,27-Feb-2025,"19,055.23","19,611.79",-556.56,"13,530.17","11,803.06","1,727.11"
,25-Feb-2025,"12,500.37","16,029.47","-3,529.10","11,278.09","8,247.31","3,030.78"
,24-Feb-2025,"7,905.53","14,192.23","-6,286.70","12,552.14","7,366.49","5,185.65"
,21-Feb-2025,"10,144.33","13,593.48","-3,449.15","12,889.44","10,004.83","2,884.61"
,20-Feb-2025,"11,131.94","14,443.49","-3,311.55","13,180.35","9,272.71","3,907.64"
,19-Feb-2025,"11,570.57","13,451.87","-1,881.30","11,192.98","9,235.24","1,957.74"
,18-Feb-2025,"14,537.68","9,751.12","4,786.56","12,792.87","9,720.68","3,072.19"
,17-Feb-2025,"6,826.98","10,764.81","-3,937.83","12,504.11","7,744.34","4,759.77"
,14-Feb-2025,"9,064.18","13,358.87","-4,294.69","12,826.66","8,462.79","4,363.87"
,13-Feb-2025,"12,124.00","14,913.91","-2,789.91","13,148.49","10,213.99","2,934.50"
,12-Feb-2025,"12,389.10","17,358.40","-4,969.30","15,357.41","9,428.17","5,929.24"
,11-Feb-2025,"11,495.99","15,982.40","-4,486.41","13,787.72","9,785.83","4,001.89"
,10-Feb-2025,"9,607.92","12,071.64","-2,463.72","9,802.45","8,286.93","1,515.52"
,07-Feb-2025,"12,482.21","12,952.60",-470.39,"12,185.62","11,731.42",454.2
,06-Feb-2025,"13,469.82","17,019.77","-3,549.95","11,546.06","8,824.40","2,721.66"
,05-Feb-2025,"14,112.34","15,795.17","-1,682.83","12,860.76","11,864.48",996.28
,04-Feb-2025,"18,105.75","17,296.52",809.23,"15,002.64","15,433.34",-430.7
