"Date","Price","Open","High","Low","Vol.","Change %"
"03-03-2025","87.270","87.444","87.424","87.253","","-0.22%"
"28-02-2025","87.466","87.320","87.559","87.266","","0.16%"
"27-02-2025","87.330","87.108","87.427","87.106","","0.25%"
"26-02-2025","87.113","87.086","87.192","87.014","","-0.02%"
"25-02-2025","87.130","86.698","87.263","86.674","","0.54%"
"24-02-2025","86.660","86.655","86.762","86.506","","0.10%"
"21-02-2025","86.572","86.509","86.779","86.456","","0.01%"
"20-02-2025","86.561","86.902","86.926","86.542","","-0.38%"
"19-02-2025","86.890","86.925","86.958","86.815","","0.03%"
"18-02-2025","86.867","86.855","86.987","86.837","","0.07%"
"17-02-2025","86.809","86.676","86.908","86.632","","0.22%"
"14-02-2025","86.620","86.779","86.905","86.562","","-0.08%"
"13-02-2025","86.690","86.950","87.014","86.693","","-0.24%"
"12-02-2025","86.900","86.796","87.034","86.327","","0.13%"
"11-02-2025","86.789","87.476","87.566","86.639","","-0.78%"
"10-02-2025","87.469","87.994","87.997","87.429","","-0.18%"
"07-02-2025","87.627","87.598","87.655","87.309","","0.05%"
"06-02-2025","87.580","87.336","87.676","87.334","","0.28%"
"05-02-2025","87.336","87.075","87.501","87.075","","0.31%"
"04-02-2025","87.070","86.977","87.142","86.948","","0.13%"
"03-02-2025","86.960","86.916","87.305","86.892","","0.49%"
"31-01-2025","86.536","86.667","86.682","86.550","","-0.01%"
"30-01-2025","86.545","86.553","86.661","86.536","","-0.10%"
"29-01-2025","86.630","86.566","86.648","86.485","","0.05%"
"28-01-2025","86.584","86.395","86.596","86.391","","0.27%"
"27-01-2025","86.350","86.244","86.459","86.234","","0.17%"
"24-01-2025","86.200","86.453","86.478","86.150","","-0.27%"
"23-01-2025","86.430","86.475","86.531","86.370","","-0.02%"
"22-01-2025","86.450","86.452","86.601","86.297","","0.00%"
"21-01-2025","86.452","86.211","86.623","86.211","","0.28%"
"20-01-2025","86.209","86.564","86.584","86.201","","-0.42%"
"17-01-2025","86.571","86.610","86.671","86.521","","0.00%"
"16-01-2025","86.570","86.438","86.648","86.382","","0.22%"
"15-01-2025","86.380","86.532","86.599","86.298","","-0.17%"
"14-01-2025","86.525","86.651","86.723","86.470","","-0.14%"
"13-01-2025","86.646","86.178","86.729","86.094","","0.56%"
"10-01-2025","86.165","85.922","86.195","85.855","","0.32%"
"09-01-2025","85.890","85.922","85.947","85.830","","-0.03%"
"08-01-2025","85.917","85.775","85.943","85.770","","0.13%"
"07-01-2025","85.803","85.705","85.813","85.649","","0.12%"
"06-01-2025","85.700","85.816","85.855","85.601","","-0.07%"
"03-01-2025","85.761","85.836","85.836","85.705","","0.00%"
"02-01-2025","85.760","85.652","85.798","85.628","","0.13%"
"01-01-2025","85.645","85.625","85.716","85.625","","0.11%"
"31-12-2024","85.554","85.538","85.687","85.516","","0.09%"
"30-12-2024","85.474","85.437","85.605","85.426","","0.10%"
"27-12-2024","85.388","85.253","85.823","85.229","","0.16%"
"26-12-2024","85.254","85.201","85.319","85.195","","0.07%"
"25-12-2024","85.198","85.181","85.210","85.156","","0.03%"
"24-12-2024","85.176","85.100","85.218","85.075","","0.10%"
"23-12-2024","85.095","84.960","85.141","84.924","","0.17%"
"20-12-2024","84.947","85.113","85.113","84.941","","-0.17%"
"19-12-2024","85.088","85.035","85.148","84.992","","0.26%"
"18-12-2024","84.867","84.907","84.975","84.840","","-0.04%"
"17-12-2024","84.902","84.882","84.955","84.877","","0.01%"
"16-12-2024","84.890","84.846","84.930","84.794","","0.13%"
"13-12-2024","84.782","84.828","84.896","84.766","","-0.05%"
"12-12-2024","84.825","84.847","84.902","84.823","","0.04%"
"11-12-2024","84.795","84.891","84.919","84.799","","-0.10%"
"10-12-2024","84.880","84.848","84.914","84.775","","0.06%"
"09-12-2024","84.829","84.704","84.914","84.675","","0.19%"
"06-12-2024","84.668","84.685","84.718","84.529","","-0.02%"
"05-12-2024","84.684","84.713","84.757","84.673","","-0.01%"
"04-12-2024","84.693","84.690","84.776","84.644","","0.02%"
"03-12-2024","84.676","84.726","84.800","84.630","","-0.08%"
"02-12-2024","84.740","84.572","84.761","84.560","","0.21%"
"29-11-2024","84.559","84.476","84.640","84.459","","0.13%"
"28-11-2024","84.445","84.441","84.524","84.432","","0.04%"
"27-11-2024","84.410","84.318","84.479","84.315","","0.11%"
"26-11-2024","84.319","84.271","84.366","84.225","","0.07%"
"25-11-2024","84.260","84.408","84.438","84.238","","-0.20%"
"22-11-2024","84.426","84.500","84.523","84.401","","-0.08%"
"21-11-2024","84.495","84.367","84.522","84.359","","0.16%"
"20-11-2024","84.360","84.411","84.419","84.340","","-0.04%"
"19-11-2024","84.390","84.402","84.440","84.371","","-0.01%"
"18-11-2024","84.398","84.444","84.461","84.371","","-0.03%"
"15-11-2024","84.424","84.473","84.483","84.411","","-0.04%"
"14-11-2024","84.461","84.422","84.490","84.384","","0.05%"
"13-11-2024","84.416","84.380","84.432","84.360","","0.04%"
"12-11-2024","84.380","84.381","84.428","84.364","","0.00%"
"11-11-2024","84.379","84.375","84.429","84.357","","-0.02%"
"08-11-2024","84.395","84.312","84.401","84.302","","0.12%"
"07-11-2024","84.293","84.311","84.395","84.260","","-0.02%"
"06-11-2024","84.310","84.115","84.355","84.115","","0.24%"
"05-11-2024","84.109","84.151","84.180","84.088","","-0.02%"
"04-11-2024","84.130","84.057","84.149","84.051","","0.06%"
"01-11-2024","84.080","84.078","84.111","84.038","","0.02%"
"31-10-2024","84.061","84.094","84.142","84.060","","-0.02%"
"30-10-2024","84.080","84.063","84.110","84.056","","0.04%"
"29-10-2024","84.050","84.092","84.102","84.043","","-0.01%"
"28-10-2024","84.060","84.087","84.100","84.054","","-0.04%"
"25-10-2024","84.095","84.089","84.110","84.055","","0.05%"
"24-10-2024","84.050","84.093","84.100","84.050","","-0.01%"
"23-10-2024","84.056","84.108","84.115","84.056","","-0.02%"
"22-10-2024","84.070","84.075","84.104","84.054","","0.00%"
"21-10-2024","84.070","84.080","84.094","84.037","","0.01%"
"18-10-2024","84.065","84.045","84.092","84.028","","0.04%"
"17-10-2024","84.035","84.043","84.083","83.995","","0.01%"
"16-10-2024","84.030","84.052","84.103","83.975","","-0.01%"
"15-10-2024","84.040","84.065","84.087","84.015","","-0.01%"
"14-10-2024","84.045","84.070","84.105","84.021","","-0.07%"
"11-10-2024","84.101","83.965","84.121","83.942","","0.19%"
"10-10-2024","83.940","83.939","83.992","83.930","","-0.01%"
"09-10-2024","83.950","83.938","83.980","83.893","","0.01%"
"08-10-2024","83.945","83.969","83.996","83.915","","-0.04%"
"07-10-2024","83.980","84.007","84.018","83.945","","-0.05%"
"04-10-2024","84.023","83.977","84.050","83.938","","0.04%"
"03-10-2024","83.990","83.927","84.036","83.895","","0.08%"
"02-10-2024","83.920","83.908","84.012","83.849","","0.02%"
"01-10-2024","83.900","83.851","83.951","83.786","","0.17%"
"30-09-2024","83.755","83.696","83.836","83.670","","0.05%"
"27-09-2024","83.710","83.622","83.725","83.598","","0.13%"
"26-09-2024","83.601","83.640","83.729","83.593","","0.00%"
"25-09-2024","83.600","83.605","83.652","83.506","","0.00%"
"24-09-2024","83.600","83.572","83.688","83.518","","0.08%"
"23-09-2024","83.530","83.481","83.577","83.440","","0.05%"
"20-09-2024","83.485","83.620","83.637","83.468","","-0.16%"
"19-09-2024","83.620","83.689","83.749","83.558","","-0.04%"
"18-09-2024","83.650","83.764","83.807","83.651","","-0.12%"
"17-09-2024","83.747","83.907","83.914","83.695","","-0.11%"
"16-09-2024","83.840","83.876","83.919","83.834","","-0.05%"
"13-09-2024","83.880","83.927","83.955","83.843","","-0.05%"
"12-09-2024","83.920","84.015","84.015","83.919","","-0.05%"
"11-09-2024","83.960","83.980","84.007","83.926","","0.01%"
"10-09-2024","83.949","84.005","84.009","83.947","","0.03%"
"09-09-2024","83.928","83.945","83.985","83.921","","-0.07%"
"06-09-2024","83.985","83.988","83.990","83.906","","0.03%"
"05-09-2024","83.961","83.979","84.004","83.956","","0.00%"
"04-09-2024","83.960","83.994","84.020","83.939","","0.01%"
"03-09-2024","83.950","83.919","83.991","83.897","","0.08%"
"02-09-2024","83.880","83.875","83.946","83.850","","0.02%"
